scene_id,template_name,ground_truth_px,distance,iou
ch-04,paperboat,"368, 373",7.43,0.7530
ch-04,umbrella,"60, 380",478.94,0.0000
ch-04,wateringcan,"606, 435",1.58,0.7777
ch-04,owl,"621, 679",358.57,0.0000
ch-04,fox,"594, 284",7.16,0.8035
ch-04,hedgehog,"145, 666",3.81,0.6643
ch-04,cloud,"337, 72",3.61,0.7346
ch-04,cup,"214, 220",3.20,0.6937
ch-04,snail,"182, 109",570.06,0.0000
ch-04,squirrel,"610, 46",12.02,0.7667
