scene_id,template_name,ground_truth_px,distance,iou
ch-06,paintbrush,"117, 44",57.50,0.1619
ch-06,comb,"68, 336",407.27,0.0000
ch-06,ruler,"467, 503",320.56,0.0000
ch-06,ball,"235, 196",331.67,0.0000
ch-06,boomerang,"456, 220",10.00,0.7708
ch-06,mug,"109, 501",4.50,0.8327
ch-06,straw,"376, 318",154.22,0.0000
ch-06,golfclub,"117, 118",229.06,0.0000
ch-06,needle,"318, 440",150.50,0.0000
