scene_id,template_name,ground_truth_px,distance,iou
ch-13,shovel,"311, 499",5.59,0.7543
ch-13,snorkel,"195, 720",9.22,0.6368
ch-13,kite,"525, 120",33.37,0.4091
ch-13,ball,"754, 164",4.95,0.7519
ch-13,tube,"985, 453",556.24,0.0000
ch-13,racket,"360, 676",14.01,0.5673
ch-13,sandcastle,"707, 412",503.00,0.0000
ch-13,chair,"1109, 557",22.15,0.6915
ch-13,watermelon,"673, 615",5.50,0.5087
