scene_id,template_name,ground_truth_px,distance,iou
ce-01,hat,"165, 855",10.98,0.6659
ce-01,banana,"133, 477",17.24,0.5851
ce-01,brush,"484, 1060",570.54,0.0000
ce-01,shoe,"423, 284",26.88,0.4460
ce-01,glove,"369, 549",3.64,0.7870
ce-01,toothbrush,"865, 885",393.36,0.0000
ce-01,mushroom,"210, 151",3.00,0.8620
ce-01,wheel,"831, 698",2.50,0.7655
ce-01,pizza,"507, 140",935.03,0.0000
ce-01,carrot,"590, 795",28.18,0.2172
ce-01,flag,"642, 282",19.47,0.6462
ce-01,bird,"847, 576",4.27,0.6171
