scene_id,template_name,ground_truth_px,distance,iou
ch-01,human,"308, 367",6.00,0.6200
ch-01,bicycle,"154, 575",1.58,0.9410
ch-01,bear,"484, 39",131.77,0.0000
ch-01,bottle,"595, 806",401.07,0.0000
ch-01,heart,"321, 144",5.59,0.5818
ch-01,apple,"208, 552",5.32,0.7802
ch-01,guitar,"522, 247",380.40,0.0000
ch-01,matryoshka,"526, 621",3.64,0.9036
ch-01,chicken,"119, 132",327.94,0.0000
ch-01,shoes,"567, 376",12.35,0.4432
