scene_id,template_name,ground_truth_px,distance,iou
ce-04,mug,"181, 191",2.06,0.8790
ce-04,sock,"758, 204",19.42,0.5903
ce-04,banana,"300, 332",18.51,0.4759
ce-04,carrot,"448, 382",382.30,0.0000
ce-04,pepperpot,"86, 852",839.01,0.0000
ce-04,boot,"680, 1058",21.78,0.5449
ce-04,waterjar,"875, 869",4.30,0.7729
ce-04,flashlight,"552, 834",3.64,0.4106
ce-04,rabbit,"110, 1036",9.43,0.7460
ce-04,lightbulb,"406, 735",8.73,0.8010
ce-04,fish,"801, 622",13.01,0.3586
ce-04,glove,"595, 204",3.35,0.7980
