scene_id,template_name,ground_truth_px,distance,iou
ch-11,pizza,"360, 695",8.73,0.6407
ch-11,whale,"411, 565",5.70,0.6480
ch-11,fish,"538, 354",1.41,0.4563
ch-11,dragonfly,"414, 45",8.73,0.6681
ch-11,butterfly,"351, 265",149.63,0.0000
ch-11,ball,"177, 331",2.24,0.7119
ch-11,donut,"259, 37",4.30,0.7034
ch-11,rabbit,"497, 645",9.96,0.6642
ch-11,candy,"60, 722",256.64,0.0000
ch-11,duck,"54, 243",9.51,0.6669
