scene_id,template_name,ground_truth_px,distance,iou
ge-01,book,"300, 230",24.79,0.4890
ge-01,needle,"657, 545",46.48,0.2247
ge-01,banana,"605, 475",5.59,0.8348
ge-01,bag,"378, 50",578.24,0.0000
ge-01,stick,"506, 713",649.88,0.0000
ge-01,triangle,"336, 345",382.15,0.0000
ge-01,worm,"585, 575",0.50,0.4184
ge-01,watermelon,"193, 390",139.54,0.0318
ge-01,ladder,"75, 115",6.80,0.3210
ge-01,can,"190, 697",206.86,0.0000
ge-01,pencil,"150, 165",98.08,0.0121
