scene_id,template_name,ground_truth_px,distance,iou
ge-04,fish1,"226, 88",133.33,0.0000
ge-04,frog,"178, 522",3.61,0.6093
ge-04,crab,"400, 543",2.55,0.4984
ge-04,ring,"301, 121",223.74,0.0000
ge-04,mug,"633, 267",3.20,0.5793
ge-04,toothbrush,"196, 453",302.91,0.0000
ge-04,fish2,"612, 209",2.92,0.4653
